Fecha,Futuros,Precio Interno ($/125 Kg),TRM
2021-08-24,183.3,1708000.0,3867.73
2021-08-23,179.95,1683000.0,3874.95
2021-08-22,,1675000.0,3874.95
2021-08-21,,1675000.0,3874.95
2021-08-20,178.25,1675000.0,3876.08
2021-08-19,178.2,1674000.0,3861.33
2021-08-18,179.7,1678000.0,3868.41
2021-08-17,178.95,1684000.0,3830.25
2021-08-16,183.2,1700000.0,3830.25
2021-08-15,,1697000.0,3830.25
2021-08-14,,1697000.0,3830.25
2021-08-13,182.75,1697000.0,3887.07
2021-08-12,186.55,1735000.0,3950.43
2021-08-11,183.85,1752000.0,3979.8
2021-08-10,182.0,1748000.0,3988.27
2021-08-09,179.35,1740000.0,3949.33
2021-08-08,,1698000.0,3949.33
2021-08-07,,1698000.0,3949.33
2021-08-06,176.0,1698000.0,3910.81
2021-08-05,176.9,1683000.0,3911.36
2021-08-04,175.65,1667000.0,3913.59
2021-08-03,174.85,1663000.0,3865.46
2021-08-02,172.8,1638000.0,3867.88
2021-08-01,,1685000.0,3867.88
2021-07-31,,1685000.0,3867.88
2021-07-30,179.55,1685000.0,3836.95
2021-07-29,196.5,1786000.0,3902.18
2021-07-28,200.45,1830000.0,3918.49
2021-07-27,201.75,1870000.0,3904.17
2021-07-26,207.8,1905000.0,3874.44
2021-07-25,,1760000.0,3874.44
2021-07-24,,1760000.0,3874.44
2021-07-23,189.0,1760000.0,3866.86
2021-07-22,193.65,1790000.0,3855.68
2021-07-21,176.0,1645000.0,3842.97
2021-07-20,165.65,1565000.0,3842.97
2021-07-19,155.25,1483000.0,3808.46
2021-07-18,,1513000.0,3808.46
2021-07-17,,1513000.0,3808.46
2021-07-16,161.2,1513000.0,3809.07
2021-07-15,156.9,1470000.0,3796.07
2021-07-14,156.45,1457000.0,3826.85
2021-07-13,152.1,1434000.0,3824.08
2021-07-12,153.85,1446000.0,3829.46
2021-07-11,,1430000.0,3829.46
2021-07-10,,1430000.0,3829.46
2021-07-09,151.3,1430000.0,3850.46
2021-07-08,152.05,1437000.0,3815.22
2021-07-07,149.75,1415000.0,3782.27
2021-07-06,147.9,1380000.0,3777.17
2021-07-05,,1402000.0,3777.17
2021-07-04,,1402000.0,3777.17
2021-07-03,,1402000.0,3777.17
2021-07-02,152.55,1402000.0,3775.53
2021-07-01,156.0,1445000.0,3748.5
2021-06-30,159.35,1460000.0,3756.67
2021-06-29,159.7,1470000.0,3713.17
2021-06-28,162.25,1465000.0,3739.03
2021-06-27,,1445000.0,3739.03
2021-06-26,,1445000.0,3739.03
2021-06-25,157.25,1445000.0,3770.35
2021-06-24,152.4,1420000.0,3773.11
2021-06-23,153.15,1430000.0,3784.45
2021-06-22,151.25,1415000.0,3758.08
2021-06-21,152.35,1420000.0,3753.77
2021-06-20,,1408000.0,3753.77
2021-06-19,,1408000.0,3753.77
2021-06-18,149.9,1408000.0,3730.45
2021-06-17,149.55,1390000.0,3690.56
2021-06-16,153.35,1396000.0,3693.35
2021-06-15,151.2,1387000.0,3626.02
2021-06-14,154.1,1390000.0,3626.02
2021-06-13,,1415000.0,3626.02
2021-06-12,,1415000.0,3626.02
2021-06-11,157.45,1415000.0,3589.86
2021-06-10,158.7,1405000.0,3588.41
2021-06-09,157.2,1390000.0,3597.18
2021-06-08,157.7,1392000.0,3609.2
2021-06-07,160.15,1415000.0,3609.2
2021-06-06,,1425000.0,3609.2
2021-06-05,,1425000.0,3609.2
2021-06-04,161.65,1425000.0,3657.41
2021-06-03,157.6,1417000.0,3642.29
2021-06-02,161.15,1440000.0,3671.38
2021-06-01,161.05,1443000.0,3715.28
2021-05-31,,1470000.0,3715.28
2021-05-30,,1470000.0,3715.28
2021-05-29,,1470000.0,3715.28
2021-05-28,162.35,1470000.0,3729.02
2021-05-27,155.35,1422000.0,3747.48
2021-05-26,155.7,1432000.0,3735.41
2021-05-25,150.5,1391000.0,3750.66
2021-05-24,149.0,1378000.0,3738.19
2021-05-23,,1390000.0,3738.19
2021-05-22,,1390000.0,3738.19
2021-05-21,150.1,1390000.0,3721.57
2021-05-20,150.95,1387000.0,3682.66
2021-05-19,150.95,1374000.0,3655.74
2021-05-18,151.8,1378000.0,3682.84
2021-05-17,145.0,1334000.0,3682.84
2021-05-16,,1328000.0,3682.84
2021-05-15,,1328000.0,3682.84
2021-05-14,144.25,1328000.0,3728.09
2021-05-13,145.65,1350000.0,3734.09
2021-05-12,145.75,1360000.0,3703.2
2021-05-11,147.9,1372000.0,3714.94
2021-05-10,147.6,1355000.0,3765.33
2021-05-09,,1409000.0,3765.33
2021-05-08,,1409000.0,3765.33
