Fecha,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,Futuros,Precio Interno ($/125 Kg),TRM
2021-10-11,0.48,19.55,0.0,-4.12,204.25,1795000.0,3765.8
2021-10-10,1.66,22.7,0.13,-3.64,,1773000.0,3765.8
2021-10-09,1.43,26.51,0.44,-4.19,,1773000.0,3765.8
2021-10-08,1.55,37.27,0.42,-3.4,201.35,1773000.0,3772.44
2021-10-07,1.15,22.9,0.0,-4.56,197.9,1750000.0,3788.03
2021-10-06,1.79,24.28,0.6,-5.84,193.45,1720000.0,3796.3
2021-10-05,1.02,17.1,3.01,-5.89,191.9,1705000.0,3786.05
2021-10-04,1.63,14.66,0.98,-2.74,200.35,1776000.0,3781.35
2021-10-03,0.44,38.2,3.98,-3.61,,1805000.0,3781.35
2021-10-02,0.43,33.92,14.01,-4.08,,1805000.0,3781.35
2021-10-01,0.73,17.92,0.28,-3.16,204.05,1805000.0,3812.77
2021-09-30,0.53,26.11,0.08,-0.59,194.0,1735000.0,3834.68
2021-09-29,1.44,16.96,0.19,1.85,193.4,1745000.0,3841.94
2021-09-28,1.67,24.64,0.22,7.05,198.6,1783000.0,3837.91
2021-09-27,3.47,21.76,0.93,7.92,193.65,1748000.0,3844.88
2021-09-26,3.19,21.39,1.81,5.03,,1750000.0,3844.88
2021-09-25,3.63,22.91,0.6,6.79,,1750000.0,3844.88
2021-09-24,1.6,21.71,1.09,4.88,194.35,1750000.0,3835.67
2021-09-23,13.6,62.99,7.16,5.35,190.6,1720000.0,3834.66
2021-09-22,6.81,28.39,6.1,5.72,184.85,1675000.0,3843.77
2021-09-21,1.64,17.05,0.41,3.69,183.35,1665000.0,3851.22
2021-09-20,3.9,31.17,0.65,-1.04,183.5,1660000.0,3828.18
2021-09-19,2.44,27.73,0.14,2.19,,1685000.0,3828.18
2021-09-18,10.32,47.39,0.56,2.62,,1685000.0,3828.18
2021-09-17,3.02,20.88,0.41,3.61,187.3,1685000.0,3818.16
2021-09-16,1.66,17.79,0.48,3.42,187.8,1694000.0,3825.36
2021-09-15,0.9,21.55,0.17,-0.24,187.0,1686000.0,3830.83
2021-09-14,1.71,21.06,0.07,-2.82,183.0,1678000.0,3835.27
2021-09-13,1.86,21.38,0.0,-1.92,184.35,1687000.0,3836.85
2021-09-12,1.4,20.0,0.35,-4.29,,1698000.0,3836.85
2021-09-11,2.67,24.81,0.36,-5.94,,1698000.0,3836.85
2021-09-10,4.19,38.66,0.47,-5.52,185.6,1698000.0,3829.72
2021-09-09,1.66,51.39,0.05,-8.19,185.0,1697000.0,3816.14
2021-09-08,1.86,33.83,0.74,-7.12,187.75,1703000.0,3812.76
2021-09-07,4.82,54.94,5.29,-3.75,191.5,1733000.0,3790.04
2021-09-06,4.59,37.81,5.3,-1.23,,,3790.04
2021-09-05,2.07,69.83,11.33,-0.9,,1725000.0,3790.04
2021-09-04,1.64,56.84,0.0,1.32,,1725000.0,3790.04
2021-09-03,1.52,34.86,0.33,2.1,190.55,1725000.0,3780.85
2021-09-02,1.95,43.81,0.35,2.45,191.9,1735000.0,3753.3
2021-09-01,0.43,17.8,0.43,9.05,193.2,1734000.0,3774.0
2021-08-31,0.99,30.05,0.66,8.16,193.45,1740000.0,3806.87
2021-08-30,17.18,40.15,15.83,-0.65,197.4,1797000.0,3834.13
2021-08-29,0.39,7.44,0.26,-3.36,,1742000.0,3834.13
2021-08-28,1.78,27.12,0.1,-2.62,,1742000.0,3834.13
2021-08-27,0.73,24.3,0.83,-4.56,189.5,1742000.0,3870.57
2021-08-26,2.69,28.28,0.45,-4.19,185.65,1726000.0,3865.04
2021-08-25,1.33,40.75,0.31,-4.37,184.05,1712000.0,3861.88
2021-08-24,2.68,31.83,0.49,-9.97,183.3,1708000.0,3867.73
2021-08-23,0.25,49.69,0.37,-4.49,179.95,1683000.0,3874.95
2021-08-22,0.44,10.59,0.49,-3.72,,1675000.0,3874.95
2021-08-21,17.79,45.3,30.54,-8.58,,1675000.0,3874.95
2021-08-20,1.24,17.87,0.0,-7.71,178.25,1675000.0,3876.08
2021-08-19,4.64,28.99,0.27,-10.46,178.2,1674000.0,3861.33
2021-08-18,1.2,26.55,0.0,-15.61,179.7,1678000.0,3868.41
2021-08-17,1.02,39.78,0.94,-14.38,178.95,1684000.0,3830.25
2021-08-16,5.58,23.55,0.0,-17.49,183.2,1700000.0,3830.25
2021-08-15,5.14,41.59,0.23,-13.48,,1697000.0,3830.25
2021-08-14,2.42,32.49,0.22,-12.62,,1697000.0,3830.25
2021-08-13,0.62,26.11,0.16,-12.62,182.75,1697000.0,3887.07
2021-08-12,0.74,24.5,0.64,-7.46,186.55,1735000.0,3950.43
2021-08-11,1.04,34.56,0.19,-2.89,183.85,1752000.0,3979.8
2021-08-10,2.4,22.48,0.25,0.27,182.0,1748000.0,3988.27
2021-08-09,2.6,68.83,0.35,4.44,179.35,1740000.0,3949.33
2021-08-08,1.72,29.5,0.57,4.69,,1698000.0,3949.33
2021-08-07,0.45,69.26,0.12,4.29,,1698000.0,3949.33
2021-08-06,2.12,55.04,0.12,5.55,176.0,1698000.0,3910.81
2021-08-05,0.71,27.61,0.35,8.88,176.9,1683000.0,3911.36
2021-08-04,1.94,30.41,0.48,7.39,175.65,1667000.0,3913.59
2021-08-03,1.64,21.79,1.25,7.34,174.85,1663000.0,3865.46
2021-08-02,1.48,25.0,0.66,4.62,172.8,1638000.0,3867.88
2021-08-01,1.98,32.45,0.47,2.37,,1685000.0,3867.88
2021-07-31,1.21,55.27,5.02,3.72,,1685000.0,3867.88
2021-07-30,4.79,22.39,0.34,-0.07,179.55,1685000.0,3836.95
2021-07-29,12.98,35.79,0.25,-8.79,196.5,1786000.0,3902.18
2021-07-28,1.21,21.46,0.83,-20.36,200.45,1830000.0,3918.49
2021-07-27,0.62,37.28,0.41,-17.86,201.75,1870000.0,3904.17
2021-07-26,0.38,56.03,26.67,-17.86,207.8,1905000.0,3874.44
2021-07-25,1.14,28.36,0.34,-21.59,,1760000.0,3874.44
2021-07-24,1.0,15.41,1.5,-24.43,,1760000.0,3874.44
2021-07-23,0.75,29.39,0.65,-18.77,189.0,1760000.0,3866.86
2021-07-22,0.77,46.79,0.77,-15.58,193.65,1790000.0,3855.68
2021-07-21,1.07,30.89,0.61,-13.2,176.0,1645000.0,3842.97
2021-07-20,3.43,19.21,0.99,-4.26,165.65,1565000.0,3842.97
2021-07-19,5.84,16.02,0.62,-8.62,155.25,1483000.0,3808.46
2021-07-18,19.12,33.12,0.81,-6.42,,1513000.0,3808.46
2021-07-17,1.54,20.77,1.32,-4.6,,1513000.0,3808.46
2021-07-16,3.37,27.89,2.35,-10.18,161.2,1513000.0,3809.07
2021-07-15,3.6,40.78,1.46,-9.55,156.9,1470000.0,3796.07
2021-07-14,2.63,27.49,0.88,-12.65,156.45,1457000.0,3826.85
2021-07-13,2.81,21.57,3.86,-12.49,152.1,1434000.0,3824.08
2021-07-12,0.78,14.81,0.13,-7.35,153.85,1446000.0,3829.46
2021-07-11,4.38,13.03,0.16,-4.07,,1430000.0,3829.46
2021-07-10,5.85,25.96,0.19,-6.59,,1430000.0,3829.46
2021-07-09,15.27,40.09,0.0,-2.67,151.3,1430000.0,3850.46
