Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest_x,RandomForest,typeRandomForest_y,RandomForest.1,typeXGBoost,XGBoost,typeELM,ELM
2020-05-22,1.103922898,train,1.4484072,train,1.302468582,train,1.170957164,train,1.5818225,train,1.571229748
2020-05-23,0.142267373,train,1.3947362,train,0.56100981,train,0.370870671,train,1.5818225,train,0.95404086
2020-05-24,1.029622631,train,1.3155254,train,1.202615528,train,1.062404798,train,1.4063983,train,1.225466902
2020-05-25,0.796387494,train,1.1184936,train,1.024243444,train,0.942577303,train,1.4063983,train,1.238971729
2020-05-26,0.530782692,train,1.4738126,train,0.973179464,train,0.639809994,train,1.475222,train,0.945575334
2020-05-27,2.50494793,train,1.4259428,train,1.942332591,train,2.01040156,train,1.4995636,train,1.361505832
2020-05-28,3.373335724,train,1.4401084,train,2.862928267,train,2.845304999,train,1.9247769,train,1.891595773
2020-05-29,2.866112253,train,1.2323146,train,3.073262713,train,2.279940845,train,2.051819,train,1.673503067
2020-05-30,0.239962166,train,1.1161491,train,0.606898283,train,1.061998453,train,1.5749645,train,1.446638505
2020-05-31,1.34196647,train,1.0667645,train,1.191227532,train,1.22630836,train,1.5105255,train,0.490814051
2020-06-01,0.95356653,train,1.2198935,train,0.948073461,train,1.082514834,train,1.4886572,train,1.630305133
2020-06-02,0.101781179,train,0.38161695,train,0.565828956,train,0.699799086,train,1.4063983,train,0.950448501
2020-06-03,0.912322598,train,1.2444515,train,1.202868728,train,1.81819814,train,1.6259085,train,1.261216732
2020-06-04,0.963252061,train,1.0609388,train,1.127738674,train,1.28155534,train,1.4995636,train,1.597522318
2020-06-05,0.761231791,train,0.83504206,train,1.060325783,train,1.223253326,train,1.4063983,train,1.673016971
2020-06-06,0.70966081,train,0.62990093,train,0.834808369,train,0.692450977,train,1.4995636,train,0.176728331
2020-06-07,0.038662507,train,0.5079101,train,0.614143211,train,0.705347398,train,1.4995636,train,0.652537123
2020-06-08,0.670998302,train,0.4323504,train,0.889943365,train,0.682828725,train,1.4995636,train,0.708308712
2020-06-09,1.118466159,train,0.70120364,train,1.180180955,train,1.098043166,train,1.4995636,train,1.180934851
2020-06-10,1.079424513,train,0.71873474,train,1.196999607,train,1.003712857,train,1.4995636,train,1.44818334
2020-06-11,0.778214044,train,0.66281533,train,1.022431214,train,0.996989,train,1.4995636,train,1.69598172
2020-06-12,0.836824967,train,0.71327597,train,0.985914664,train,0.875865712,train,1.4995636,train,1.284038955
2020-06-13,0.348107872,train,0.63480484,train,0.569805586,train,0.58185196,train,1.4995636,train,0.603517883
2020-06-14,0.201016786,train,0.62659544,train,0.493051075,train,0.392162039,train,1.4995636,train,0.619100946
2020-06-15,0.719391294,train,0.43428606,train,0.924354469,train,0.814494574,train,1.4995636,train,1.161612619
2020-06-16,0.373035338,train,0.8856702,train,0.620325129,train,0.467256791,train,1.4995636,train,0.972642101
2020-06-17,2.738454428,train,1.5532105,train,2.157852563,train,1.98352982,train,1.4995636,train,1.305650725
2020-06-18,1.729149711,train,1.6713822,train,1.656432004,train,1.653792869,train,1.5749645,train,2.245153257
2020-06-19,0.902581121,train,1.2335867,train,0.927035805,train,0.928599626,train,1.5105255,train,2.028185096
2020-06-20,0.55221216,train,0.8281835,train,0.698448788,train,0.69915113,train,1.5818225,train,1.638456854
2020-06-21,1.02293537,train,0.7304184,train,0.941070603,train,1.10103546,train,1.5818225,train,1.40657046
2020-06-22,0.74440823,train,0.97680396,train,0.802917391,train,0.886712869,train,1.4063983,train,0.958487941
2020-06-23,0.312175071,train,1.3210199,train,0.581693556,train,0.624006167,train,1.4063983,train,1.319573385
2020-06-24,0.414723249,train,1.390196,train,0.839296178,train,0.727226962,train,1.4995636,train,1.137476725
2020-06-25,1.879950927,train,1.3167595,train,1.56938644,train,1.697563526,train,1.4995636,train,1.190221042
2020-06-26,0.839899951,train,1.167279,train,0.996831603,train,0.916686134,train,1.4995636,train,1.76995354
2020-06-27,1.336858284,train,0.9846068,train,1.137029377,train,1.133428112,train,1.4995636,train,1.31672366
2020-06-28,0.970772876,train,0.7781361,train,0.998990972,train,1.160767553,train,1.6099132,train,1.125466718
2020-06-29,0.780622498,train,0.9161454,train,0.849701831,train,0.863924533,train,1.4995636,train,0.752136065
2020-06-30,1.409182856,train,1.2498825,train,1.271858391,train,1.23804793,train,1.4886572,train,1.351906833
2020-07-01,2.954424631,train,1.793942,train,2.274409755,train,2.320350467,train,2.3871405,train,2.094113352
2020-07-02,0.779351241,train,1.8920105,train,0.909683816,train,1.018176671,train,1.4817992,train,1.950248758
2020-07-03,2.304224713,train,1.5574733,train,1.872335253,train,2.171420547,train,1.5105255,train,1.426068034
2020-07-04,2.207136363,train,1.2461056,train,1.915961601,train,1.791029058,train,1.5749645,train,1.365775941
2020-07-05,1.223489714,train,0.9233217,train,1.271773243,train,1.230694508,train,1.4817992,train,1.766021644
2020-07-06,0.669842444,train,0.6808527,train,0.790016259,train,0.907525525,train,1.4886572,train,1.284134661
2020-07-07,2.08712081,train,0.98523855,train,1.699593158,train,1.851749013,train,1.5818225,train,1.026362271
2020-07-08,0.302724752,train,0.8843431,train,0.674560943,train,0.844017277,train,1.4817992,train,1.317955323
2020-07-09,1.2713113,train,1.1368738,train,1.264095301,train,1.238499996,train,1.4063983,train,1.006385729
2020-07-10,1.599208701,train,1.2110901,train,1.451899196,train,1.503120141,train,1.5818225,train,1.887901589
2020-07-11,0.080622058,train,1.236946,train,0.550947161,train,0.455232798,train,1.4995636,train,1.317875867
2020-07-12,0.878847823,train,1.390236,train,0.872719647,train,0.801334643,train,1.4886572,train,0.195378478
2020-07-13,0.493448097,train,1.1264099,train,0.653811523,train,0.754530196,train,1.5818225,train,0.949990073
2020-07-14,0.721280819,train,1.192746,train,0.802610908,train,0.998910393,train,1.4063983,train,0.713917378
2020-07-15,0.778618001,train,1.520566,train,0.866772784,train,0.883872325,train,1.4063983,train,1.671283898
2020-07-16,1.191415284,train,1.6454104,train,1.17379181,train,1.173557494,train,1.4995636,train,1.475815035
2020-07-17,3.987406855,train,1.5388374,train,2.881889018,train,2.694814128,train,1.4995636,train,1.795771844
2020-07-18,0.901258614,train,1.4825045,train,1.253212991,train,1.247524859,train,1.5464911,train,1.593844829
2020-07-19,1.683191577,train,1.382739,train,1.454846376,train,1.542126585,train,1.5105255,train,1.358170912
2020-07-20,1.773956604,train,1.4117777,train,1.674106048,train,1.730051417,train,1.9280814,train,1.667958303
2020-07-21,2.010117932,train,1.7178572,train,1.637235629,train,1.735040333,train,1.5276543,train,1.790382609
2020-07-22,7.520900048,train,1.6260427,train,5.162521237,train,5.437775756,train,3.5228584,train,2.224960654
2020-07-23,0.787588041,train,1.1513124,train,1.9002458,train,1.268608672,train,1.5464911,train,2.125853496
2020-07-24,0.833724144,train,0.7351663,train,1.003562379,train,0.938194157,train,1.4173602,train,1.279013926
2020-07-25,1.45325594,train,0.63505095,train,1.338385397,train,1.380279042,train,1.4886572,train,1.148164535
2020-07-26,0.680983092,train,0.6887564,train,0.804772457,train,0.627722804,train,1.4063983,train,0.840771048
2020-07-27,0.306034548,train,1.006884,train,0.607400152,train,0.611073209,train,1.4063983,train,1.016422205
2020-07-28,0.681665898,train,1.5087576,train,0.916571317,train,1.048242487,train,1.5818225,train,0.961151444
2020-07-29,1.762757508,train,1.9735681,train,1.636364892,train,1.456450839,train,1.4995636,train,1.600718379
2020-07-30,3.304993467,train,2.1922362,train,3.047003343,train,3.137674948,train,2.583604,train,1.678281711
2020-07-31,3.073225213,train,2.0035927,train,2.425557164,train,2.486263758,train,2.2949774,train,1.267015041
2020-08-01,0.166463772,train,1.4967847,train,0.582282447,train,0.753672475,train,1.5749645,train,1.074181021
2020-08-02,1.202906241,train,1.3583509,train,1.103067501,train,1.214347628,train,1.5105255,train,0.793562721
2020-08-03,0.149799548,train,1.4812241,train,0.571077691,train,0.556369112,train,1.4886572,train,0.840355962
2020-08-04,2.636687584,train,1.4661779,train,2.151058134,train,1.824764646,train,1.4063983,train,0.9107611
2020-08-05,0.412201738,train,1.3065078,train,0.849862231,train,0.9909284,train,1.4817992,train,1.560227982
2020-08-06,3.815176596,train,1.3702455,train,3.078512274,train,2.708763115,train,1.869155,train,1.075779658
2020-08-07,1.3336399,train,1.316682,train,1.599223788,train,1.433816092,train,1.7481452,train,2.503266468
2020-08-08,0.587022503,train,0.5911583,train,0.757316995,train,1.011860718,train,1.5105255,train,0.311533697
2020-08-09,0.835135311,train,0.7489923,train,0.966019128,train,0.931868536,train,1.4886572,train,0.811935498
