Fecha,Vol. Futuros,TRM,Precio Interno,PI,MHI,FNI,SI
2020-05-08,2.436342064011467,3924.54,1127000.0,2.21,61.73,0.96,-16.8
2020-05-09,1.6048701893034436,3882.27,1127000.0,5.62,60.57,1.76,-23.88
2020-05-10,0.5101508549501993,3882.27,1127000.0,30.46,78.83,0.17,-23.16
2020-05-11,2.144717568153759,3882.27,1121000.0,13.38,75.18,2.92,-24.15
2020-05-12,3.123069011846781,3901.34,1090000.0,2.65,57.06,0.88,-17.32
2020-05-13,1.9603783430567927,3880.48,1080000.0,7.27,59.53,0.88,-21.58
2020-05-14,1.2952927560658456,3901.3,1101000.0,2.77,56.03,0.63,-31.99
2020-05-15,0.0953743515309779,3947.79,1094000.0,2.85,57.87,1.38,-22.38
2020-05-16,0.4157195243621409,3926.06,1094000.0,2.37,63.35,0.38,-17.73
2020-05-17,0.175441756717522,3926.06,1094000.0,7.71,72.03,2.64,-16.58
2020-05-18,1.0953898665696638,3926.06,1084000.0,10.2,54.76,1.36,-11.27
2020-05-19,1.2691122159499717,3851.07,1074000.0,5.03,57.14,0.66,-18.55
2020-05-20,1.3164270973625969,3824.3,1056000.0,6.48,62.15,0.0,-17.26
2020-05-21,0.8555185259818665,3804.12,1038000.0,2.67,67.14,0.47,-25.74
2020-05-22,1.103922897686448,3774.25,1030000.0,3.06,46.59,1.06,-23.77
2020-05-23,0.1422673733033917,3782.66,1030000.0,1.88,59.54,1.48,-22.59
2020-05-24,1.0296226309939194,3782.66,1030000.0,24.93,70.82,0.57,-24.43
2020-05-25,0.7963874936654175,3782.66,1030000.0,2.17,40.43,1.08,-27.22
2020-05-26,0.5307826922104625,3782.66,1029000.0,2.06,56.93,0.0,-27.79
2020-05-27,2.504947930444253,3725.56,1010000.0,4.02,69.81,0.77,-24.55
2020-05-28,3.373335724252059,3743.79,975000.0,4.34,54.81,0.0,-17.03
2020-05-29,2.866112253186237,3723.42,962000.0,4.51,65.1,0.29,-11.67
2020-05-30,0.2399621655782306,3718.82,962000.0,6.13,64.29,0.66,-5.21
2020-05-31,1.3419664701185163,3718.82,962000.0,2.64,68.68,0.75,-0.55
2020-06-01,0.9535665303638144,3718.82,975000.0,60.54,85.22,0.26,4.43
2020-06-02,0.1017811792700603,3716.35,951000.0,7.33,65.4,0.81,4.92
2020-06-03,0.9123225975521972,3651.42,950000.0,6.48,63.08,2.08,6.77
2020-06-04,0.963252061347217,3588.89,939000.0,2.25,44.26,0.47,0.51
2020-06-05,0.7612317906196397,3597.47,940000.0,3.18,47.93,0.16,-3.48
2020-06-06,0.7096608095053457,3565.06,940000.0,3.33,58.07,0.83,-5.19
2020-06-07,0.0386625070637545,3565.06,940000.0,8.02,61.79,6.6,-7.01
2020-06-08,0.670998302441591,3565.06,950000.0,4.44,54.81,10.37,-6.72
2020-06-09,1.1184661587894815,3599.0,955000.0,1.34,60.3,0.9,-6.54
2020-06-10,1.0794245130880402,3643.02,950000.0,5.45,60.96,0.96,-5.49
2020-06-11,0.7782140442054963,3674.81,971000.0,3.1,53.64,1.5,-5.19
2020-06-12,0.8368249670516579,3746.46,968000.0,1.45,44.28,0.48,-5.88
2020-06-13,0.34810787231702,3758.15,968000.0,4.72,59.03,0.14,-10.14
2020-06-14,0.2010167862218936,3758.15,968000.0,2.89,50.0,7.51,-9.73
2020-06-15,0.7193912941926641,3758.15,960000.0,8.22,60.27,0.34,-9.58
2020-06-16,0.3730353379906367,3758.15,952000.0,2.89,53.68,0.26,-8.61
2020-06-17,2.738454427779605,3741.88,974000.0,7.33,54.55,1.03,-10.38
2020-06-18,1.729149711006111,3749.03,966000.0,4.48,51.27,0.36,-6.96
2020-06-19,0.9025811207312332,3760.22,960000.0,2.32,48.49,2.32,-15.86
2020-06-20,0.552212160417347,3733.27,960000.0,5.91,53.32,0.74,-9.35
2020-06-21,1.022935370234095,3733.27,960000.0,4.87,50.19,1.87,-9.22
2020-06-22,0.7444082296674301,3733.27,976000.0,5.95,47.62,1.19,-12.79
2020-06-23,0.3121750714184585,3733.27,968000.0,5.26,48.56,1.32,-14.84
2020-06-24,0.4147232486446389,3706.06,972000.0,9.81,78.16,0.41,-22.88
2020-06-25,1.8799509273316783,3722.27,958000.0,6.07,53.33,0.7,-22.01
2020-06-26,0.8398999505238683,3735.93,970000.0,2.19,43.17,0.3,-5.52
2020-06-27,1.3368582843108796,3758.91,970000.0,3.71,40.05,0.16,-6.05
2020-06-28,0.97077287599299,3758.91,970000.0,2.14,44.16,0.78,-5.62
2020-06-29,0.7806224979323902,3758.91,997000.0,13.85,54.39,0.0,-5.79
2020-06-30,1.409182856111807,3758.91,1006000.0,1.79,48.98,0.89,-2.39
2020-07-01,2.954424630672552,3756.28,1020000.0,4.36,51.45,1.04,-3.05
2020-07-02,0.7793512413556868,3723.67,994000.0,3.09,50.75,0.32,-7.34
2020-07-03,2.304224712610933,3660.18,995000.0,2.07,51.15,0.49,-17.25
2020-07-04,2.207136362714829,3645.9,995000.0,8.19,60.84,1.2,-25.01
2020-07-05,1.2234897140103504,3645.9,995000.0,4.28,71.66,0.53,-26.18
2020-07-06,0.6698424436843388,3645.9,954000.0,4.97,69.3,9.65,-29.21
2020-07-07,2.0871208100906458,3633.32,967000.0,2.97,45.07,0.63,-32.82
2020-07-08,0.3027247518724999,3631.54,969000.0,3.36,52.84,0.65,-25.39
2020-07-09,1.2713112999837726,3625.61,955000.0,5.13,51.25,0.6,-26.78
2020-07-10,1.5992087013948306,3633.42,942000.0,2.45,54.95,0.43,-17.97
2020-07-11,0.0806220584778462,3615.75,942000.0,6.28,51.23,0.55,-16.14
2020-07-12,0.8788478225145714,3615.75,942000.0,2.3,43.78,0.92,-16.1
2020-07-13,0.4934480973333447,3615.75,954000.0,13.69,48.13,0.41,-18.28
2020-07-14,0.7212808189240798,3617.22,950000.0,1.01,48.91,1.34,-20.37
2020-07-15,0.7786180005539735,3638.22,945000.0,2.14,47.21,0.95,-22.6
2020-07-16,1.1914152843570252,3611.61,958000.0,4.1,54.62,0.63,-12.67
2020-07-17,3.9874068552350734,3627.86,990000.0,5.97,52.55,0.1,-12.82
2020-07-18,0.901258613632955,3651.93,990000.0,2.72,46.74,0.0,-18.36
2020-07-19,1.6831915769216597,3651.93,990000.0,2.76,56.9,0.69,-12.94
2020-07-20,1.773956603869982,3651.93,970000.0,4.96,34.04,0.35,-10.78
2020-07-21,2.0101179321087304,3651.93,977000.0,1.39,46.4,0.25,-7.93
2020-07-22,7.520900048323763,3628.2,1030000.0,1.47,50.39,0.68,-6.28
2020-07-23,0.7875880414650491,3627.28,1033000.0,4.68,47.79,1.17,-14.2
2020-07-24,0.8337241437828343,3660.15,1047000.0,8.03,55.5,0.35,-6.44
2020-07-25,1.4532559397682223,3690.8,1047000.0,3.77,47.34,0.34,-4.52
2020-07-26,0.6809830918086858,3690.8,1047000.0,2.55,60.0,0.0,-4.99
2020-07-27,0.3060345478319902,3690.8,1057000.0,1.26,58.16,0.0,-1.85
2020-07-28,0.6816658979097681,3679.17,1065000.0,3.36,57.08,0.15,-1.84
2020-07-29,1.7627575083313238,3718.69,1075000.0,29.2,69.66,0.31,-3.75
2020-07-30,3.304993467255219,3716.89,1110000.0,0.68,69.96,1.13,-4.57
2020-07-31,3.073225212920414,3739.49,1140000.0,1.65,52.84,0.62,-11.44
2020-08-01,0.1664637721459027,3733.08,1140000.0,2.69,61.97,0.1,-8.41
2020-08-02,1.2029062408784643,3733.08,1140000.0,4.93,54.52,0.82,-9.24
2020-08-03,0.1497995481684192,3733.08,1143000.0,3.3,51.1,0.55,-14.33
2020-08-04,2.636687584074213,3768.39,1170000.0,1.65,49.41,0.24,-19.67
2020-08-05,0.412201737806486,3792.98,1168000.0,3.28,52.05,0.1,-12.95
2020-08-06,3.815176596437617,3775.95,1123000.0,15.87,67.92,0.06,-10.08
2020-08-07,1.3336398997251708,3769.67,1115000.0,52.22,84.57,2.06,-4.58
2020-08-08,0.5870225032774898,3769.67,1115000.0,7.71,56.83,0.72,-4.19
2020-08-09,0.8351353108472437,3769.67,1115000.0,1.12,44.38,0.19,-4.55
2020-08-10,1.077424195366705,3769.67,1105000.0,0.97,53.51,0.0,-1.87
2020-08-11,1.1163322002213376,3770.22,1082000.0,1.06,43.14,0.0,2.34
2020-08-12,0.6266806543559487,3749.3,1091000.0,3.63,56.82,0.69,-4.67
2020-08-13,3.636764417087479,3755.61,1125000.0,18.66,70.41,1.09,-8.77
2020-08-14,1.2992820282485815,3767.05,1120000.0,18.67,65.06,1.81,-10.36
2020-08-15,1.7002377428534146,3783.15,1120000.0,3.67,57.56,1.62,-10.96
2020-08-16,0.0982265378326265,3783.15,1120000.0,0.75,41.51,1.51,-16.22
2020-08-17,2.340342463527248,3783.15,1128000.0,1.63,38.69,0.23,-12.75
2020-08-18,3.193799238348068,3783.15,1153000.0,3.74,40.81,0.0,-15.15
2020-08-19,0.7150398499075876,3784.15,1130000.0,1.27,41.71,0.95,-11.83
2020-08-20,0.0843881906620056,3766.73,1141000.0,1.71,49.37,2.89,-13.48
2020-08-21,1.298991657452344,3792.13,1158000.0,1.7,47.92,1.28,-19.32
2020-08-22,0.1077101662365514,3827.27,1158000.0,3.49,47.84,0.56,-18.3
2020-08-23,0.6037726501179205,3827.27,1158000.0,0.59,33.82,0.0,-10.56
2020-08-24,0.8363008063477586,3827.27,1167000.0,2.34,38.46,1.0,-10.39
2020-08-25,2.4236142113548897,3843.69,1192000.0,2.23,61.01,0.0,-1.61
2020-08-26,0.3252035386377343,3867.32,1176000.0,0.45,68.84,0.26,-7.44
2020-08-27,0.1220752949159428,3846.64,1170000.0,5.36,41.09,0.49,-0.71
2020-08-28,3.3196409533206706,3820.17,1180000.0,7.48,55.21,0.4,-1.48
2020-08-29,1.5519376679876329,3760.38,1180000.0,4.2,55.45,0.57,-0.98
2020-08-30,0.0364400364405488,3760.38,1180000.0,5.05,49.04,0.0,2.39
2020-08-31,0.513684903029952,3760.38,1200000.0,2.53,58.53,0.92,2.83
2020-09-01,1.6049255453279232,3745.41,1197000.0,1.29,59.3,0.55,1.93
2020-09-02,0.3037208105449671,3683.28,1188000.0,1.74,42.91,0.0,12.22
2020-09-03,0.0760167273397525,3653.7,1198000.0,3.53,45.44,0.41,17.91
2020-09-04,2.402517958699005,3653.23,1225000.0,10.23,39.08,0.57,13.67
2020-09-05,1.7582809300030866,3702.62,1225000.0,7.75,52.18,0.22,11.87
2020-09-06,0.3250724220450234,3702.62,1225000.0,11.67,39.75,0.0,7.41
2020-09-07,1.0753899988156652,3702.62,1225000.0,3.36,38.81,0.0,6.97
2020-09-08,2.50275949681977,3702.62,1217000.0,1.84,46.47,0.42,-3.62
2020-09-09,2.4005725057660103,3757.21,1184000.0,2.23,45.62,0.27,-11.17
2020-09-10,2.174413344160351,3717.25,1204000.0,1.82,60.43,31.72,-25.74
2020-09-11,0.6394605201746353,3700.28,1208000.0,3.67,40.41,0.76,-20.41
2020-09-12,1.9507809761442367,3709.0,1208000.0,2.72,42.0,0.62,-18.04
2020-09-13,3.100508352219829,3709.0,1208000.0,2.63,58.91,0.94,-14.88
2020-09-14,2.581842490976357,3709.0,1132000.0,12.98,38.6,0.17,-11.3
2020-09-15,1.0986885697124038,3697.0,1125000.0,3.49,40.55,0.51,-14.1
2020-09-16,1.3594442110314993,3683.49,1105000.0,2.6,41.8,4.02,-7.07
2020-09-17,2.0532881423863465,3703.86,1100000.0,1.97,37.85,2.06,-3.85
2020-09-18,3.8848216916265694,3714.65,1070000.0,5.29,40.54,0.56,-3.76
2020-09-19,1.6537165313746631,3725.37,1070000.0,2.36,49.43,0.31,-7.7
2020-09-20,0.2283661936803517,3725.37,1070000.0,1.57,40.6,4.05,-13.75
2020-09-21,0.0068868384986555,3725.37,1075000.0,5.2,36.63,0.5,-12.01
2020-09-22,1.2126804798035775,3790.54,1075000.0,2.49,48.6,0.83,-7.85
2020-09-23,0.1356545539251232,3813.3,1070000.0,5.7,49.86,0.77,-8.71
2020-09-24,0.5865119452398058,3863.6,1078000.0,2.49,60.07,1.28,-8.84
2020-09-25,2.2242909888346616,3873.8,1115000.0,4.56,47.64,0.95,-8.83
2020-09-26,0.0407471177466863,3867.81,1115000.0,3.33,54.22,0.22,-10.98
2020-09-27,1.8170663078358045,3867.81,1115000.0,3.27,52.08,2.98,-11.99
2020-09-28,1.897920107367025,3867.81,1080000.0,3.56,48.54,0.97,-12.01
2020-09-29,9.128251527171026e-06,3859.9,1083000.0,2.82,45.76,1.58,-8.43
