Fecha,Vol. Futuros,PI,MHI,FNI,SI
2020-07-12,0.8788478225145714,2.3,43.78,0.92,-16.1
2020-07-13,0.4934480973333447,13.69,48.13,0.41,-18.28
2020-07-14,0.7212808189240798,1.01,48.91,1.34,-20.37
2020-07-15,0.7786180005539735,2.14,47.21,0.95,-22.6
2020-07-16,1.1914152843570252,4.1,54.62,0.63,-12.67
2020-07-17,3.9874068552350734,5.97,52.55,0.1,-12.82
2020-07-18,0.901258613632955,2.72,46.74,0.0,-18.36
2020-07-19,1.6831915769216597,2.76,56.9,0.69,-12.94
2020-07-20,1.773956603869982,4.96,34.04,0.35,-10.78
2020-07-21,2.0101179321087304,1.39,46.4,0.25,-7.93
2020-07-22,7.520900048323763,1.47,50.39,0.68,-6.28
2020-07-23,0.7875880414650491,4.68,47.79,1.17,-14.2
2020-07-24,0.8337241437828343,8.03,55.5,0.35,-6.44
2020-07-25,1.4532559397682223,3.77,47.34,0.34,-4.52
2020-07-26,0.6809830918086858,2.55,60.0,0.0,-4.99
2020-07-27,0.3060345478319902,1.26,58.16,0.0,-1.85
2020-07-28,0.6816658979097681,3.36,57.08,0.15,-1.84
2020-07-29,1.7627575083313238,29.2,69.66,0.31,-3.75
2020-07-30,3.304993467255219,0.68,69.96,1.13,-4.57
2020-07-31,3.073225212920414,1.65,52.84,0.62,-11.44
2020-08-01,0.1664637721459027,2.69,61.97,0.1,-8.41
2020-08-02,1.2029062408784643,4.93,54.52,0.82,-9.24
2020-08-03,0.1497995481684192,3.3,51.1,0.55,-14.33
2020-08-04,2.636687584074213,1.65,49.41,0.24,-19.67
2020-08-05,0.412201737806486,3.28,52.05,0.1,-12.95
2020-08-06,3.815176596437617,15.87,67.92,0.06,-10.08
2020-08-07,1.3336398997251708,52.22,84.57,2.06,-4.58
2020-08-08,0.5870225032774898,7.71,56.83,0.72,-4.19
2020-08-09,0.8351353108472437,1.12,44.38,0.19,-4.55
2020-08-10,1.077424195366705,0.97,53.51,0.0,-1.87
2020-08-11,1.1163322002213376,1.06,43.14,0.0,2.34
2020-08-12,0.6266806543559487,3.63,56.82,0.69,-4.67
2020-08-13,3.636764417087479,18.66,70.41,1.09,-8.77
2020-08-14,1.2992820282485815,18.67,65.06,1.81,-10.36
2020-08-15,1.7002377428534146,3.67,57.56,1.62,-10.96
2020-08-16,0.0982265378326265,0.75,41.51,1.51,-16.22
2020-08-17,2.340342463527248,1.63,38.69,0.23,-12.75
2020-08-18,3.193799238348068,3.74,40.81,0.0,-15.15
2020-08-19,0.7150398499075876,1.27,41.71,0.95,-11.83
2020-08-20,0.0843881906620056,1.71,49.37,2.89,-13.48
2020-08-21,1.298991657452344,1.7,47.92,1.28,-19.32
2020-08-22,0.1077101662365514,3.49,47.84,0.56,-18.3
2020-08-23,0.6037726501179205,0.59,33.82,0.0,-10.56
2020-08-24,0.8363008063477586,2.34,38.46,1.0,-10.39
2020-08-25,2.4236142113548897,2.23,61.01,0.0,-1.61
2020-08-26,0.3252035386377343,0.45,68.84,0.26,-7.44
2020-08-27,0.1220752949159428,5.36,41.09,0.49,-0.71
2020-08-28,3.3196409533206706,7.48,55.21,0.4,-1.48
2020-08-29,1.5519376679876329,4.2,55.45,0.57,-0.98
2020-08-30,0.0364400364405488,5.05,49.04,0.0,2.39
2020-08-31,0.513684903029952,2.53,58.53,0.92,2.83
2020-09-01,1.6049255453279232,1.29,59.3,0.55,1.93
2020-09-02,0.3037208105449671,1.74,42.91,0.0,12.22
2020-09-03,0.0760167273397525,3.53,45.44,0.41,17.91
2020-09-04,2.402517958699005,10.23,39.08,0.57,13.67
